id|serviceArea|serviceAreaDisplayName|urls/0|urls/1|ips/0|ips/1|ips/2|ips/3|ips/4|ips/5|ips/6|ips/7|ips/8|ips/9|ips/10|ips/11|ips/12|ips/13|ips/14|ips/15|ips/16|ips/17|ips/18|ips/19|ips/20|ips/21|ips/22|ips/23|ips/24|ips/25|ips/26|ips/27|tcpPorts|expressRoute|category|required|urls/2|notes|udpPorts|urls/3|urls/4|ips/28|ips/29|ips/30|ips/31|ips/32|ips/33|ips/34|ips/35|ips/36|ips/37|urls/5|urls/6|urls/7|urls/8|urls/9|urls/10|urls/11|urls/12|urls/13|urls/14|urls/15|urls/16|urls/17|urls/18|urls/19|urls/20|urls/21|urls/22|urls/23|urls/24|urls/25
32|SharePoint|SharePoint Online and OneDrive for Business|ssw.live.com|storage.live.com|||||||||||||||||||||||||||||443|false|Default|false||OneDrive for Business: supportability, telemetry, APIs, and embedded email links||||||||||||||||||||||||||||||||||
33|SharePoint|SharePoint Online and OneDrive for Business|*.search.production.apac.trafficmanager.net|*.search.production.emea.trafficmanager.net|||||||||||||||||||||||||||||443|false|Default|false|*.search.production.us.trafficmanager.net|SharePoint Hybrid Search - Endpoint to SearchContentService where the hybrid crawler feeds documents||||||||||||||||||||||||||||||||||
35|SharePoint|SharePoint Online and OneDrive for Business|*.wns.windows.com|admin.onedrive.com|||||||||||||||||||||||||||||80,443|false|Default|true|officeclient.microsoft.com|||||||||||||||||||||||||||||||||||
36|SharePoint|SharePoint Online and OneDrive for Business|g.live.com|oneclient.sfx.ms|||||||||||||||||||||||||||||80,443|false|Default|true||||||||||||||||||||||||||||||||||||
37|SharePoint|SharePoint Online and OneDrive for Business|*.sharepointonline.com|spoprod-a.akamaihd.net|||||||||||||||||||||||||||||80,443|false|Default|true||||||||||||||||||||||||||||||||||||
39|SharePoint|SharePoint Online and OneDrive for Business|*.gr.global.aa-rt.sharepoint.com|*.svc.ms|||||||||||||||||||||||||||||80,443|false|Default|true|*-admin.sharepoint.com|||*-files.sharepoint.com|*-myfiles.sharepoint.com|||||||||||||||||||||||||||||||
41|Common|Microsoft 365 Common and Office Online|*.microsoftstream.com||||||||||||||||||||||||||||||443|false|Default|false||Microsoft Stream||||||||||||||||||||||||||||||||||
43|Common|Microsoft 365 Common and Office Online|nps.onyx.azure.net||||||||||||||||||||||||||||||443|false|Default|false||Microsoft Stream 3rd party integration (including CDNs)||||||||||||||||||||||||||||||||||
44|Common|Microsoft 365 Common and Office Online|*.azureedge.net|*.media.azure.net|||||||||||||||||||||||||||||443|false|Default|false|*.streaming.mediaservices.windows.net|Microsoft Stream - unauthenticated||||||||||||||||||||||||||||||||||
45|Common|Microsoft 365 Common and Office Online|*.keydelivery.mediaservices.windows.net||||||||||||||||||||||||||||||443|false|Default|false||Microsoft Stream||||||||||||||||||||||||||||||||||
46|Common|Microsoft 365 Common and Office Online|*.officeapps.live.com|*.online.office.com|13.107.6.171/32|13.107.18.15/32|13.107.140.6/32|52.108.0.0/14|52.238.106.116/32|52.244.37.168/32|52.244.203.72/32|52.244.207.172/32|52.244.223.198/32|52.247.150.191/32|2603:1010:2::cb/128|2603:1010:200::c7/128|2603:1020:200::682f:a0fd/128|2603:1020:201:9::c6/128|2603:1020:600::a1/128|2603:1020:700::a2/128|2603:1020:800:2::6/128|2603:1020:900::8/128|2603:1030:7::749/128|2603:1030:800:5::bfee:ad3c/128|2603:1030:f00::17/128|2603:1030:1000::21a/128|2603:1040:200::4f3/128|2603:1040:401::762/128|2603:1040:601::60f/128|2603:1040:a01::1e/128|2603:1040:c01::28/128|2603:1040:e00:1::2f/128|80,443|true|Allow|true|office.live.com|||||2603:1040:f00::1f/128|2603:1050:1::cd/128|2620:1ec:c::15/128|2620:1ec:8fc::6/128|2620:1ec:a92::171/128|2a01:111:f100:2000::a83e:3019/128|2a01:111:f100:2002::8975:2d79/128|2a01:111:f100:2002::8975:2da8/128|2a01:111:f100:7000::6fdd:6cd5/128|2a01:111:f100:a004::bfeb:88cf/128|||||||||||||||||||||
47|Common|Microsoft 365 Common and Office Online|*.cdn.office.net|contentstorage.osi.office.net|||||||||||||||||||||||||||||443|false|Default|true||||||||||||||||||||||||||||||||||||
49|Common|Microsoft 365 Common and Office Online|*.onenote.com||||||||||||||||||||||||||||||443|false|Default|true||||||||||||||||||||||||||||||||||||
50|Common|Microsoft 365 Common and Office Online|*.microsoft.com|*.office.net|||||||||||||||||||||||||||||443|false|Default|false||OneNote notebooks (wildcards)||||||||||||||||||||||||||||||||||
51|Common|Microsoft 365 Common and Office Online|*cdn.onenote.net||||||||||||||||||||||||||||||443|false|Default|true||||||||||||||||||||||||||||||||||||
53|Common|Microsoft 365 Common and Office Online|ajax.aspnetcdn.com|apis.live.net|||||||||||||||||||||||||||||443|false|Default|true|officeapps.live.com|||www.onedrive.com||||||||||||||||||||||||||||||||
56|Common|Microsoft 365 Common and Office Online|*.auth.microsoft.com|*.msftidentity.com|20.190.128.0/18|40.126.0.0/18|2603:1006:2000::/48|2603:1007:200::/48|2603:1016:1400::/48|2603:1017::/48|2603:1026:3000::/48|2603:1027:1::/48|2603:1036:3000::/48|2603:1037:1::/48|2603:1046:2000::/48|2603:1047:1::/48|2603:1056:2000::/48|2603:1057:2::/48|||||||||||||||80,443|true|Allow|true|*.msidentity.com|||account.activedirectory.windowsazure.com|accounts.accesscontrol.windows.net|||||||||||adminwebservice.microsoftonline.com|api.passwordreset.microsoftonline.com|autologon.microsoftazuread-sso.com|becws.microsoftonline.com|ccs.login.microsoftonline.com|clientconfig.microsoftonline-p.net|companymanager.microsoftonline.com|device.login.microsoftonline.com|graph.microsoft.com|graph.windows.net|login.microsoft.com|login.microsoftonline.com|login.microsoftonline-p.com|login.windows.net|logincert.microsoftonline.com|loginex.microsoftonline.com|login-us.microsoftonline.com|nexus.microsoftonline-p.com|passwordreset.microsoftonline.com|provisioningapi.microsoftonline.com|
59|Common|Microsoft 365 Common and Office Online|*.hip.live.com|*.microsoftonline.com|||||||||||||||||||||||||||||80,443|false|Default|true|*.microsoftonline-p.com|||*.msauth.net|*.msauthimages.net|||||||||||*.msecnd.net|*.msftauth.net|*.msftauthimages.net|*.phonefactor.net|enterpriseregistration.windows.net|management.azure.com|policykeyservice.dc.ad.msft.net||||||||||||||
64|Common|Microsoft 365 Common and Office Online|*.compliance.microsoft.com|*.protection.office.com|52.108.0.0/14|2603:1006:1400::/40|2603:1016:2400::/40|2603:1026:2400::/40|2603:1036:2400::/40|2603:1046:1400::/40|2603:1056:1400::/40|2a01:111:200a:a::/64|2a01:111:2035:8::/64|2a01:111:f406:1::/64|2a01:111:f406:c00::/64|2a01:111:f406:1004::/64|2a01:111:f406:1805::/64|2a01:111:f406:3404::/64|2a01:111:f406:8000::/64|2a01:111:f406:8801::/64|2a01:111:f406:a003::/64||||||||||||443|true|Allow|true|*.security.microsoft.com|||compliance.microsoft.com|defender.microsoft.com|||||||||||protection.office.com|security.microsoft.com|||||||||||||||||||
65|Common|Microsoft 365 Common and Office Online|account.office.net||52.108.0.0/14|2603:1006:1400::/40|2603:1016:2400::/40|2603:1026:2400::/40|2603:1036:2400::/40|2603:1046:1400::/40|2603:1056:1400::/40|2a01:111:200a:a::/64|2a01:111:2035:8::/64|2a01:111:f406:1::/64|2a01:111:f406:c00::/64|2a01:111:f406:1004::/64|2a01:111:f406:1805::/64|2a01:111:f406:3404::/64|2a01:111:f406:8000::/64|2a01:111:f406:8801::/64|2a01:111:f406:a003::/64||||||||||||80,443|true|Allow|true||||||||||||||||||||||||||||||||||||
66|Common|Microsoft 365 Common and Office Online|*.portal.cloudappsecurity.com|suite.office.net|||||||||||||||||||||||||||||443|false|Default|true||||||||||||||||||||||||||||||||||||
